authors,article.title,source.title,publication.year,host.genus,host.species,virus.subfamily,virus.genus,virus.species,sero.positive,PCR.positive,isolation.positive,sample.size,notes,sample.size.notes
"Barr, JA; Smith, C; Marsh, GA; Field, H; Wang, LF","Evidence of bat origin for Menangle virus, a zoonotic paramyxovirus first isolated from diseased pigs",JOURNAL OF GENERAL VIROLOGY,2012,pteropus,alecto,rubulavirinae,pararubulavirus,menangle virus,NA,NA,1,pool,,
"Field, H; de Jong, CE; Halpin, K; Smith, CS","Henipaviruses and Fruit Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2013,pteropus,conspicillatus,orthoparamyxovirinae,henipavirus,hendra virus,0,NA,NA,NA,,
"Brook, CE; Ranaivoson, HC; Broder, CC; Cunningham, AA; Heraud, JM; Peel, AJ; Gibson, L; Wood, JLN; Metcalf, CJ; Dobson, AP",Disentangling serology to elucidate henipa- and filovirus transmission in Madagascar fruit bats,JOURNAL OF ANIMAL ECOLOGY,2019,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,cedar virus,1,NA,NA,314,,
"Brook, CE; Ranaivoson, HC; Broder, CC; Cunningham, AA; Heraud, JM; Peel, AJ; Gibson, L; Wood, JLN; Metcalf, CJ; Dobson, AP",Disentangling serology to elucidate henipa- and filovirus transmission in Madagascar fruit bats,JOURNAL OF ANIMAL ECOLOGY,2019,pteropus,rufus,orthoparamyxovirinae,henipavirus,cedar virus,1,NA,NA,201,,
"Brook, CE; Ranaivoson, HC; Broder, CC; Cunningham, AA; Heraud, JM; Peel, AJ; Gibson, L; Wood, JLN; Metcalf, CJ; Dobson, AP",Disentangling serology to elucidate henipa- and filovirus transmission in Madagascar fruit bats,JOURNAL OF ANIMAL ECOLOGY,2019,rousettus,madagascariensis,orthoparamyxovirinae,henipavirus,cedar virus,1,NA,NA,225,,
"Brook, CE; Ranaivoson, HC; Broder, CC; Cunningham, AA; Heraud, JM; Peel, AJ; Gibson, L; Wood, JLN; Metcalf, CJ; Dobson, AP",Disentangling serology to elucidate henipa- and filovirus transmission in Madagascar fruit bats,JOURNAL OF ANIMAL ECOLOGY,2019,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,hendra/nipah virus,1,NA,NA,NA,sample size listed for cedar,
"Brook, CE; Ranaivoson, HC; Broder, CC; Cunningham, AA; Heraud, JM; Peel, AJ; Gibson, L; Wood, JLN; Metcalf, CJ; Dobson, AP",Disentangling serology to elucidate henipa- and filovirus transmission in Madagascar fruit bats,JOURNAL OF ANIMAL ECOLOGY,2019,pteropus,rufus,orthoparamyxovirinae,henipavirus,hendra/nipah virus,1,NA,NA,NA,sample size listed for cedar,
"Brook, CE; Ranaivoson, HC; Broder, CC; Cunningham, AA; Heraud, JM; Peel, AJ; Gibson, L; Wood, JLN; Metcalf, CJ; Dobson, AP",Disentangling serology to elucidate henipa- and filovirus transmission in Madagascar fruit bats,JOURNAL OF ANIMAL ECOLOGY,2019,rousettus,madagascariensis,orthoparamyxovirinae,henipavirus,hendra/nipah virus,1,NA,NA,NA,sample size listed for cedar,
"Iehle, C; Razafitrimo, G; Razainirina, J; Andriaholinirina, N; Goodman, SM; Faure, C; Georges-Courbot, MC; Rousset, D; Reynes, JM","Henipavirus and Tioman virus antibodies in pteropodid bats, Madagascar",EMERGING INFECTIOUS DISEASES,2007,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,0,73,,
"Iehle, C; Razafitrimo, G; Razainirina, J; Andriaholinirina, N; Goodman, SM; Faure, C; Georges-Courbot, MC; Rousset, D; Reynes, JM","Henipavirus and Tioman virus antibodies in pteropodid bats, Madagascar",EMERGING INFECTIOUS DISEASES,2007,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,hendra virus,1,NA,0,NA,sample size listed for nipah,
"Iehle, C; Razafitrimo, G; Razainirina, J; Andriaholinirina, N; Goodman, SM; Faure, C; Georges-Courbot, MC; Rousset, D; Reynes, JM","Henipavirus and Tioman virus antibodies in pteropodid bats, Madagascar",EMERGING INFECTIOUS DISEASES,2007,eidolon,dupreanum,rubulavirinae,pararubulavirus,tioman virus,0,NA,0,73,,subtract from total
"Iehle, C; Razafitrimo, G; Razainirina, J; Andriaholinirina, N; Goodman, SM; Faure, C; Georges-Courbot, MC; Rousset, D; Reynes, JM","Henipavirus and Tioman virus antibodies in pteropodid bats, Madagascar",EMERGING INFECTIOUS DISEASES,2007,pteropus,rufus,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,0,349,,
"Iehle, C; Razafitrimo, G; Razainirina, J; Andriaholinirina, N; Goodman, SM; Faure, C; Georges-Courbot, MC; Rousset, D; Reynes, JM","Henipavirus and Tioman virus antibodies in pteropodid bats, Madagascar",EMERGING INFECTIOUS DISEASES,2007,pteropus,rufus,orthoparamyxovirinae,henipavirus,hendra virus,1,NA,0,NA,sample size listed for nipah,
"Iehle, C; Razafitrimo, G; Razainirina, J; Andriaholinirina, N; Goodman, SM; Faure, C; Georges-Courbot, MC; Rousset, D; Reynes, JM","Henipavirus and Tioman virus antibodies in pteropodid bats, Madagascar",EMERGING INFECTIOUS DISEASES,2007,pteropus,rufus,rubulavirinae,pararubulavirus,tioman virus,1,NA,0,349,,subtract from total
"Iehle, C; Razafitrimo, G; Razainirina, J; Andriaholinirina, N; Goodman, SM; Faure, C; Georges-Courbot, MC; Rousset, D; Reynes, JM","Henipavirus and Tioman virus antibodies in pteropodid bats, Madagascar",EMERGING INFECTIOUS DISEASES,2007,rousettus,madagascariensis,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,0,5,,
"Iehle, C; Razafitrimo, G; Razainirina, J; Andriaholinirina, N; Goodman, SM; Faure, C; Georges-Courbot, MC; Rousset, D; Reynes, JM","Henipavirus and Tioman virus antibodies in pteropodid bats, Madagascar",EMERGING INFECTIOUS DISEASES,2007,rousettus,madagascariensis,orthoparamyxovirinae,henipavirus,hendra virus,0,NA,0,NA,sample size listed for nipah,
"Iehle, C; Razafitrimo, G; Razainirina, J; Andriaholinirina, N; Goodman, SM; Faure, C; Georges-Courbot, MC; Rousset, D; Reynes, JM","Henipavirus and Tioman virus antibodies in pteropodid bats, Madagascar",EMERGING INFECTIOUS DISEASES,2007,rousettus,madagascariensis,rubulavirinae,pararubulavirus,tioman virus,1,NA,0,5,,subtract from total
"Sendow, I; Ratnawati, A; Taylor, T; Adjid, RMA; Saepulloh, M; Barr, J; Wong, F; Daniels, P; Field, H","Nipah Virus in the Fruit Bat Pteropus vampyrus in Sumatera, Indonesia",PLOS ONE,2013,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,1,1,NA,71,,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,epomophorus,gambianus,orthoparamyxovirinae,henipavirus,hendra virus,0,NA,NA,89,,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,epomophorus,gambianus,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,NA,sample size listed for hendra,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,eidolon,helvum,orthoparamyxovirinae,henipavirus,hendra virus,1,NA,NA,59,,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,NA,sample size listed for hendra,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,epomops,franqueti,orthoparamyxovirinae,henipavirus,hendra virus,0,NA,NA,29,,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,epomops,franqueti,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,NA,NA,sample size listed for hendra,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,epomops,buettikoferi,orthoparamyxovirinae,henipavirus,hendra virus,0,NA,NA,7,,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,epomops,buettikoferi,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,NA,NA,sample size listed for hendra,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,hypsignathus,monstrosus,orthoparamyxovirinae,henipavirus,hendra virus,0,NA,NA,18,,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,hypsignathus,monstrosus,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,NA,sample size listed for hendra,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,nanonycteris,veldkampii,orthoparamyxovirinae,henipavirus,hendra virus,0,NA,NA,4,,
"Hayman, DTS; Suu-Ire, R; Breed, AC; McEachern, JA; Wang, LF; Wood, JLN; Cunningham, AA",Evidence of Henipavirus Infection in West African Fruit Bats,PLOS ONE,2008,nanonycteris,veldkampii,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,NA,NA,sample size listed for nipah,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,pteropus,alecto,orthoparamyxovirinae,henipavirus,hendra virus,1,1,NA,79,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,pteropus,conspicillatus,orthoparamyxovirinae,henipavirus,hendra/nipah virus,1,0,NA,233,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,pteropus,neohibernicus,orthoparamyxovirinae,henipavirus,hendra/nipah virus,7,0,NA,9,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,dobsonia,magna,orthoparamyxovirinae,henipavirus,nipah virus,1,0,NA,8,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,macroglossus,minimus,orthoparamyxovirinae,henipavirus,hendra/nipah virus,0,0,NA,21,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,pteropus,macrotis,orthoparamyxovirinae,henipavirus,hendra/nipah virus,0,0,NA,3,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,1,1,NA,51,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,hendra virus,1,0,NA,NA,sample size listed for nipah,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,rousettus,amplexicaudatus,orthoparamyxovirinae,henipavirus,nipah virus,1,1,NA,31,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,pteropus,griseus,orthoparamyxovirinae,henipavirus,hendra/nipah virus,0,0,NA,1,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,dobsonia,peronii,orthoparamyxovirinae,henipavirus,hendra/nipah virus,0,0,NA,2,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,pteropus,alecto,orthoparamyxovirinae,henipavirus,NA,1,1,NA,45,,
"Breed, AC; Meers, J; Sendow, I; Bossart, KN; Barr, JA; Smith, I; Wacharapluesadee, S; Wang, LF; Field, HE",The Distribution of Henipaviruses in Southeast Asia and Australasia: Is Wallace's Line a Barrier to Nipah Virus?,PLOS ONE,2013,acerodon,celebensis,orthoparamyxovirinae,henipavirus,NA,1,1,NA,15,,
"Weiss, S; Nowak, K; Fahr, J; Wibbelt, G; Mombouli, JV; Parra, HJ; Wolfe, ND; Schneider, BS; Leendertz, FH","Henipavirus-related Sequences in Fruit Bat Bushmeat, Republic of Congo",EMERGING INFECTIOUS DISEASES,2012,eidolon,helvum,orthoparamyxovirinae,henipavirus,NA,NA,1,NA,42,,
"Epstein, JH; Prakash, V; Smith, CS; Daszak, P; McLaughlin, AB; Meehan, G; Field, HE; Cunningham, AA","Henipavirus infection in fruit bats (Pteropus giganteus), India",EMERGING INFECTIOUS DISEASES,2008,pteropus,giganteus,orthoparamyxovirinae,henipavirus,hendra virus,1,NA,NA,41,,
"Epstein, JH; Prakash, V; Smith, CS; Daszak, P; McLaughlin, AB; Meehan, G; Field, HE; Cunningham, AA","Henipavirus infection in fruit bats (Pteropus giganteus), India",EMERGING INFECTIOUS DISEASES,2008,pteropus,giganteus,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,NA,sample size listed for hendra,
"Baker, KS; Todd, S; Marsh, GA; Crameri, G; Barr, J; Kamins, AO; Peel, AJ; Yu, M; Hayman, DTS; Nadjm, B; Mtove, G; Amos, B; Reyburn, H; Nyarko, E; Suu-Ire, R; Murcia, PR; Cunningham, AA; Wood, JLN; Wang, LF","Novel, Potentially Zoonotic Paramyxoviruses from the African Straw-Colored Fruit Bat Eidolon helvum",JOURNAL OF VIROLOGY,2013,eidolon,helvum,rubulavirinae,pararubulavirus,achimota virus 1,1,1,1,229,,
"Baker, KS; Todd, S; Marsh, GA; Crameri, G; Barr, J; Kamins, AO; Peel, AJ; Yu, M; Hayman, DTS; Nadjm, B; Mtove, G; Amos, B; Reyburn, H; Nyarko, E; Suu-Ire, R; Murcia, PR; Cunningham, AA; Wood, JLN; Wang, LF","Novel, Potentially Zoonotic Paramyxoviruses from the African Straw-Colored Fruit Bat Eidolon helvum",JOURNAL OF VIROLOGY,2013,eidolon,helvum,rubulavirinae,pararubulavirus,achimota virus 2,1,1,1,NA,sample size listed for achimota 1,
"Philbey, AW; Kirkland, PD; Ross, AD; Davis, RJ; Gleeson, AB; Love, RJ; Daniels, PW; Gould, AR; Hyatt, AD","An apparently new virus (family Paramyxoviridae) infectious for pigs, humans, and fruit bats",EMERGING INFECTIOUS DISEASES,1998,pteropus,poliocephalus,rubulavirinae,pararubulavirus,menangle virus,1,NA,NA,79,,
"Philbey, AW; Kirkland, PD; Ross, AD; Davis, RJ; Gleeson, AB; Love, RJ; Daniels, PW; Gould, AR; Hyatt, AD","An apparently new virus (family Paramyxoviridae) infectious for pigs, humans, and fruit bats",EMERGING INFECTIOUS DISEASES,1998,pteropus,alecto,rubulavirinae,pararubulavirus,menangle virus,1,NA,NA,20,,
"Philbey, AW; Kirkland, PD; Ross, AD; Davis, RJ; Gleeson, AB; Love, RJ; Daniels, PW; Gould, AR; Hyatt, AD","An apparently new virus (family Paramyxoviridae) infectious for pigs, humans, and fruit bats",EMERGING INFECTIOUS DISEASES,1998,pteropus,conspicillatus,rubulavirinae,pararubulavirus,menangle virus,1,NA,NA,10,,
"Philbey, AW; Kirkland, PD; Ross, AD; Davis, RJ; Gleeson, AB; Love, RJ; Daniels, PW; Gould, AR; Hyatt, AD","An apparently new virus (family Paramyxoviridae) infectious for pigs, humans, and fruit bats",EMERGING INFECTIOUS DISEASES,1998,pteropus,scapulatus,rubulavirinae,pararubulavirus,menangle virus,0,NA,NA,15,,
"Peel, AJ; Baker, KS; Crameri, G; Barr, JA; Hayman, DTS; Wright, E; Broder, CC; Fernandez-Loras, A; Fooks, AR; Wang, LF; Cunningham, AA; Wood, JLN",Henipavirus Neutralising Antibodies in an Isolated Island Population of African Fruit Bats,PLOS ONE,2012,eidolon,helvum,orthoparamyxovirinae,henipavirus,NA,1,NA,NA,73,,
"Muleya, W; Sasaki, M; Orba, Y; Ishii, A; Thomas, Y; Nakagawa, E; Ogawa, H; Hang'ombe, B; Namangala, B; Mweene, A; Takada, A; Kimura, T; Sawa, H",Molecular Epidemiology of Paramyxoviruses in Frugivorous Eidolon helvum Bats in Zambia,JOURNAL OF VETERINARY MEDICAL SCIENCE,2014,eidolon,helvum,orthoparamyxovirinae,henipavirus,NA,NA,1,NA,312,,
"Muleya, W; Sasaki, M; Orba, Y; Ishii, A; Thomas, Y; Nakagawa, E; Ogawa, H; Hang'ombe, B; Namangala, B; Mweene, A; Takada, A; Kimura, T; Sawa, H",Molecular Epidemiology of Paramyxoviruses in Frugivorous Eidolon helvum Bats in Zambia,JOURNAL OF VETERINARY MEDICAL SCIENCE,2014,eidolon,helvum,NA,NA,NA,NA,1,NA,NA,sample size listed for henipavirus,
"Field, H; de Jong, C; Melville, D; Smith, C; Smith, I; Broos, A; Kung, YH; McLaughlin, A; Zeddeman, A",Hendra Virus Infection Dynamics in Australian Fruit Bats,PLOS ONE,2011,pteropus,alecto,orthoparamyxovirinae,henipavirus,hendra virus,NA,1,NA,pool,,
"Field, H; de Jong, C; Melville, D; Smith, C; Smith, I; Broos, A; Kung, YH; McLaughlin, A; Zeddeman, A",Hendra Virus Infection Dynamics in Australian Fruit Bats,PLOS ONE,2011,pteropus,conspicillatus,orthoparamyxovirinae,henipavirus,hendra virus,NA,1,NA,pool,,
"Field, H; de Jong, C; Melville, D; Smith, C; Smith, I; Broos, A; Kung, YH; McLaughlin, A; Zeddeman, A",Hendra Virus Infection Dynamics in Australian Fruit Bats,PLOS ONE,2011,pteropus,poliocephalus,orthoparamyxovirinae,henipavirus,hendra virus,NA,1,NA,pool,species present in mixed-species roost,
"Field, H; de Jong, C; Melville, D; Smith, C; Smith, I; Broos, A; Kung, YH; McLaughlin, A; Zeddeman, A",Hendra Virus Infection Dynamics in Australian Fruit Bats,PLOS ONE,2011,pteropus,scapulatus,orthoparamyxovirinae,henipavirus,hendra virus,NA,1,NA,pool,species present in mixed-species roost,
"Peel, AJ; Sargan, DR; Baker, KS; Hayman, DTS; Barr, JA; Crameri, G; Suu-Ire, R; Broder, CC; Lembo, T; Wang, LF; Fooks, AR; Rossiter, SJ; Wood, JLN; Cunningham, AA",Continent-wide panmixia of an African fruit bat facilitates transmission of potentially zoonotic viruses,NATURE COMMUNICATIONS,2013,eidolon,helvum,orthoparamyxovirinae,henipavirus,NA,1,1,NA,2084,,
"Sendow, I; Field, HE; Adjid, A; Ratnawati, A; Breed, AC; Darminto; Morrissy, C; Daniels, P","Screening for Nipah Virus Infection in West Kalimantan Province, Indonesia",ZOONOSES AND PUBLIC HEALTH,2010,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,84,,
"Sendow, I; Field, HE; Adjid, A; Ratnawati, A; Breed, AC; Darminto; Morrissy, C; Daniels, P","Screening for Nipah Virus Infection in West Kalimantan Province, Indonesia",ZOONOSES AND PUBLIC HEALTH,2010,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,NA,15,,
"Drexler, JF; Corman, VM; Gloza-Rausch, F; Seebens, A; Annan, A; Ipsen, A; Kruppa, T; Muller, MA; Kalko, EKV; Adu-Sarkodie, Y; Oppong, S; Drosten, C",Henipavirus RNA in African Bats,PLOS ONE,2009,eidolon,helvum,orthoparamyxovirinae,henipavirus,NA,NA,1,NA,pool,,
"Olival, KJ; Latinne, A; Islam, A; Epstein, JH; Hersch, R; Engstrand, RC; Gurley, ES; Amato, G; Luby, SP; Daszak, P","Population genetics of fruit bat reservoir informs the dynamics, distribution and diversity of Nipah virus",MOLECULAR ECOLOGY,2020,pteropus,medius,orthoparamyxovirinae,henipavirus,nipah virus,NA,1,NA,387,,
"Baker, KS; Todd, S; Marsh, G; Fernandez-Loras, A; Suu-Ire, R; Wood, JLN; Wang, LF; Murcia, PR; Cunningham, AA",Co-circulation of diverse paramyxoviruses in an urban African fruit bat population,JOURNAL OF GENERAL VIROLOGY,2012,eidolon,helvum,rubulavirinae,pararubulavirus,NA,NA,1,NA,pool,,
